|name      |ra        |dec      |app_mag|spect_type|result_parallax|bv_color|ub_color|ri_color|
|GJ 1049   |02 39 00.8|-58 11 13|  9.65 |M0 Ve     | 77.0          | 1.39   | 1.10   | 0.76   |
|NN 3915   |15 48 04.3|-58 10 49| 11.65 |M2-3      | 45.0          |        |        | 0.88   |
|NN 3683   |11 43 29.5|-58 00 40|  8.21 |K1 V      | 41.0          | 0.91   |        |        |
|Gl 857    |22 24 55.4|-57 47 33|  5.32 |G4 V      | 56.2          | 0.67   | 0.13   | 0.24   |
|NN 3551   |09 18 09.0|-57 46 41|  9.52 |K7 V      | 47.0          | 1.19   | 1.00   | 0.54   |
|Gl 836.9A |21 46 34.8|-57 41 25|  9.47 |K7 V      | 52.1          | 1.32   | 1.15   | 0.59   |
|Gl 836.9B |21 46 34.8|-57 41 25|  9.60 |K7 V      | 52.1          |        |        |        |
|Gl 422    |11 16 16.4|-57 33 53| 11.65 |m         | 76.7          | 1.47   | 0.92   | 1.10   |
|GJ 1075   |05 05 47.5|-57 33 21|  9.02 |K7 V      | 81.0          | 1.40   | 1.20   | 0.65   |
|Gl 615    |16 13 54.2|-57 33 06|  7.53 |K0 V      | 69.9          | 0.83   | 0.28   | 0.32   |
|Gl 189    |05 05 30.8|-57 28 26|  4.71 |F7 V      | 73.0          | 0.52   |-0.04   | 0.20   |
|NN 3279   |04 22 14.4|-57 26 15| 11.80 |m         | 65.0          |        |        | 1.04   |
|NN 4078   |18 49 38.3|-57 25 34| 12.70 |m         | 90.0          |        |        | 1.25   |
|Gl 693    |17 46 41.6|-57 18 02| 10.75 |M3.5      |165.5          | 1.65   | 1.21   | 1.11   |
|Gl 855    |22 23 30.1|-57 12 54| 10.74 |M3        | 56.8          | 1.50   | 1.16   | 0.81   |
|Gl 429.4  |11 30 38.1|-57 08 04|  8.33 |K4 Ve     | 50.0          | 1.06   | 0.99   | 0.37   |
|NN 4082   |18 52 49.7|-57 06 08| 12.14 |M2        | 45.0          | 1.47   | 1.13   | 0.97   |
|NN 3009   |00 08 24.5|-57 05 18| 12.07 |M4        | 74.0          | 1.54   |        | 1.13   |
|Wo 9155B  |04 24 12.3|-57 04 17|  7.30 |G6 V      | 40.0          |        |        |        |
|Wo 9155A  |04 24 12.3|-57 04 11|  6.88 |G4 V      | 40.0          | 0.66   | 0.19   |        |
|Wo 9716   |21 03 16.3|-56 57 25| 12.85 |M4        | 64.0          | 1.65   | 1.36   | 1.17   |
|Gl 845    |22 02 57.5|-56 45 05|  4.69 |K5 Ve     |288.9          | 1.06   | 0.99   | 0.40   |
|NN 4028   |17 50 59.9|-56 34 13| 12.13 |M2        | 29.0          | 1.46   | 1.15   | 0.80   |
|Gl 613    |16 09 43.5|-56 26 58|  7.11 |K3 V      | 75.3          | 0.85   | 0.48   | 0.38   |
|GJ 1252   |20 27 41.1|-56 25 47| 12.23 |m         | 42.0          | 1.45   | 1.07   | 0.97   |
|Gl 66A    |01 39 45.8|-56 11 43|  5.80 |K2 V      |148.9          | 0.86   | 0.57   | 0.30   |
